
Query: measurement of dielectric constant of liquids by the use of microwave techniques
  1. 8172
  2. 5502
X 791. 5734
X 792. 6148
X 793. 6426
X 794. 6791
X 795. 7801
X 796. 9065
X 797. 9099
X 798. 9538
X 799. 10163
X 800. 10607
X 801. 10636
X 802. 11297
X 803. 11309
X 804. 9678
X 805. 3428
X 806. 4573
X 807. 4933
X 808. 5787
X 809. 6497
X 810. 6634
X 811. 6712
X 812. 6809
X 813. 7075
X 814. 7107
X 815. 7625
X 816. 9806
X 817. 9871
X 818. 3013
X 819. 8755
X 820. 5810
X 821. 432
X 822. 634
X 823. 1111
X 824. 1339
X 825. 1983
X 826. 2036
X 827. 2189
X 828. 2327
X 829. 2985
X 830. 3032
X 831. 3678
X 832. 4253
X 833. 4435
X 834. 4440
X 835. 4718
X 836. 4730
X 837. 5563
X 838. 5657
X 839. 6191
X 840. 6604
X 841. 6806
X 842. 9557
X 843. 10150
X 844. 10347
X 845. 10456
X 846. 10507
X 847. 10987
X 848. 1600
X 849. 1719
X 850. 2061
X 851. 2240
X 852. 2942
X 853. 3433
X 854. 5295
X 855. 5379
X 856. 5470
X 857. 6011
X 858. 6241
X 859. 6370
X 860. 6825
X 861. 7011
X 862. 8494
X 863. 8862
X 864. 9223
X 865. 9785
X 866. 9791
X 867. 11358
X 868. 1117
X 869. 1277
X 870. 3932
X 871. 4991
X 872. 11109
X 873. 11227
X 874. 81
X 875. 693
X 876. 970
X 877. 1228
X 878. 1887
X 879. 1888
X 880. 1894
X 881. 1942
X 882. 1949
X 883. 1993
X 884. 2218
X 885. 2234
X 886. 2363
X 887. 2370
X 888. 2471
X 889. 2586
X 890. 2710
X 891. 2729
X 892. 2793
X 893. 3061
X 894. 3155
X 895. 3317
X 896. 3361
X 897. 3677
X 898. 3871
X 899. 4127
X 900. 4220
X 901. 4382
X 902. 4488
X 903. 6016
X 904. 6044
X 905. 6282
X 906. 6893
X 907. 6959
X 908. 7943
X 909. 8492
X 910. 8721
X 911. 8987
X 912. 9215
X 913. 10326
X 914. 10640
X 915. 10807
X 916. 10893
X 917. 10912
X 918. 10930
X 919. 11205
X 920. 11301
X 921. 11316
X 922. 11351
X 923. 2000
X 924. 7
X 925. 51
X 926. 116
X 927. 213
X 928. 957
X 929. 1029
X 930. 1070
X 931. 1090
X 932. 1430
X 933. 1537
X 934. 1588
X 935. 1609
X 936. 1713
X 937. 1922
X 938. 2040
X 939. 2257
X 940. 2289
X 941. 2315
X 942. 2424
X 943. 3002
X 944. 3043
X 945. 3337
X 946. 3392
X 947. 3448
X 948. 3551
X 949. 3721
X 950. 3954
X 951. 4180
X 952. 4186
X 953. 4696
X 954. 4811
X 955. 5135
X 956. 5178
X 957. 5401
X 958. 5432
X 959. 5433
X 960. 5761
X 961. 5839
X 962. 6220
X 963. 6252
X 964. 6699
X 965. 7467
X 966. 7487
X 967. 7707
X 968. 8046
X 969. 8068
X 970. 8238
X 971. 8430
X 972. 8566
X 973. 8653
X 974. 8655
X 975. 8782
X 976. 8843
X 977. 8949
X 978. 9035
X 979. 9165
X 980. 9255
X 981. 9435
X 982. 9559
X 983. 9569
X 984. 9686
X 985. 10028
X 986. 10047
X 987. 10373
X 988. 10409
X 989. 10521
X 990. 10563
X 991. 10564
X 992. 10705
X 993. 10791
X 994. 10801
X 995. 11025
X 996. 605
X 997. 1269
X 998. 1806
X 999. 1807
X 1000. 1941
Average Precision: 0.30284374051731394

Query: mathematical analysis and design details of waveguide fed microwave radiations
X 1. 5124
X 2. 8253
  3. 7113
X 4. 2850
X 5. 3781
X 6. 2284
X 7. 5012
X 8. 2218
X 9. 2729
X 10. 8891
X 11. 5639
X 12. 8873
X 13. 9820
X 14. 8997
X 15. 7803
X 16. 1239
X 17. 1183
X 18. 8803
X 19. 1374
X 20. 4341
X 21. 5662
X 22. 6883
X 23. 10238
X 24. 1780
X 25. 1048
X 26. 2322
X 27. 2325
  28. 414
X 29. 6464
X 30. 9209
X 31. 265
X 32. 3221
X 33. 3500
X 34. 5750
X 35. 7810
X 36. 3206
X 37. 6635
X 38. 10235
X 39. 4330
X 40. 5300
  41. 8241
X 42. 4571
X 43. 3379
X 44. 5630
X 45. 7998
X 46. 8500
X 47. 308
X 48. 10081
X 49. 160
X 50. 1888
X 51. 2252
X 52. 4547
X 53. 6870
X 54. 6958
X 55. 6727
X 56. 7082
X 57. 5388
X 58. 10358
X 59. 7061
X 60. 3305
X 61. 987
X 62. 10085
X 63. 4570
  64. 9112
X 65. 9593
  66. 1894
X 67. 3064
X 68. 6959
X 69. 7898
X 70. 860
X 71. 10789
X 72. 2779
X 73. 8608
X 74. 3960
X 75. 5486
X 76. 1641
X 77. 2445
X 78. 3535
X 79. 3665
X 80. 4254
X 81. 9331
X 82. 5041
X 83. 6990
X 84. 4598
X 85. 4237
X 86. 3880
  87. 7808
X 88. 664
X 89. 4125
X 90. 3791
X 91. 2434
X 92. 10272
X 93. 8659
X 94. 8172
X 95. 8563
X 96. 10493
X 97. 2564
X 98. 3489
X 99. 5179
X 100. 6631
  101. 6736
X 102. 1887
X 103. 4017
X 104. 2326
X 105. 201
X 106. 1364
X 107. 3635
X 108. 3679
X 109. 3747
X 110. 5037
X 111. 8833
X 112. 10177
X 113. 10400
X 114. 10632
X 115. 7288
X 116. 786
X 117. 2702
X 118. 2929
X 119. 6459
X 120. 5912
X 121. 8607
X 122. 11075
X 123. 11237
X 124. 1605
X 125. 8868
X 126. 8989
X 127. 10929
X 128. 3534
X 129. 3058
  130. 3785
X 131. 4734
X 132. 6083
X 133. 7599
X 134. 8127
X 135. 9114
X 136. 4110
X 137. 592
X 138. 5873
X 139. 9177
X 140. 5775
X 141. 3166
X 142. 9908
X 143. 3748
X 144. 2348
X 145. 3637
X 146. 3855
X 147. 6106
X 148. 7752
X 149. 10094
  150. 10802
X 151. 10803
X 152. 11350
X 153. 8433
X 154. 25
X 155. 62
X 156. 846
X 157. 973
X 158. 1214
X 159. 1530
X 160. 2842
X 161. 2883
X 162. 4129
X 163. 9301
X 164. 10342
X 165. 3392
X 166. 9416
X 167. 1726
X 168. 9952
X 169. 2674
X 170. 2980
X 171. 705
X 172. 3683
X 173. 10396
X 174. 7164
  175. 7555
X 176. 3395
X 177. 3080
X 178. 3668
X 179. 8718
X 180. 8987
X 181. 5868
X 182. 3782
X 183. 9267
X 184. 8967
X 185. 2080
X 186. 922
X 187. 7039
X 188. 9366
X 189. 10712
X 190. 11181
X 191. 1004
X 192. 9333
X 193. 261
X 194. 2174
X 195. 2692
X 196. 3037
X 197. 3605
X 198. 4422
X 199. 5021
X 200. 5054
X 201. 10212
X 202. 10476
X 203. 10731
X 204. 10943
X 205. 11335
X 206. 4832
X 207. 10923
X 208. 5308
X 209. 1830
X 210. 6671
X 211. 10486
X 212. 10059
X 213. 2100
X 214. 7128
X 215. 8015
  216. 8383
X 217. 4109
X 218. 2338
X 219. 4430
  220. 5894
X 221. 6379
X 222. 7182
X 223. 9715
X 224. 4613
X 225. 5248
X 226. 5475
X 227. 10108
X 228. 4135
X 229. 6991
X 230. 7499
X 231. 9935
X 232. 1540
X 233. 3927
X 234. 1976
X 235. 2083
X 236. 2971
X 237. 4564
X 238. 6498
X 239. 10101
X 240. 7265
X 241. 432
X 242. 630
X 243. 1305
X 244. 1712
X 245. 2336
X 246. 2419
X 247. 2432
X 248. 3003
X 249. 3836
X 250. 4195
X 251. 4417
X 252. 5129
X 253. 5180
X 254. 10428
X 255. 10607
X 256. 6338
X 257. 690
X 258. 742
X 259. 2847
X 260. 3401
X 261. 3707
X 262. 8704
X 263. 9788
X 264. 10927
X 265. 8462
X 266. 7177
X 267. 6229
X 268. 4768
X 269. 1202
X 270. 3483
X 271. 3505
X 272. 4418
X 273. 5045
X 274. 970
X 275. 1993
X 276. 6044
X 277. 6988
X 278. 12
X 279. 2370
X 280. 8496
X 281. 9215
X 282. 11301
X 283. 4397
X 284. 8229
X 285. 498
X 286. 2893
X 287. 6224
X 288. 8394
X 289. 6967
X 290. 857
X 291. 1280
X 292. 5083
X 293. 6014
X 294. 8382
X 295. 8516
X 296. 7147
X 297. 7450
X 298. 952
X 299. 11045
X 300. 6878
X 301. 8541
X 302. 10208
X 303. 3684
X 304. 8372
X 305. 4747
X 306. 10967
X 307. 4112
X 308. 6220
X 309. 9985
X 310. 10783
X 311. 503
X 312. 833
X 313. 1079
X 314. 1172
X 315. 1337
X 316. 2315
X 317. 3504
X 318. 3528
X 319. 3840
X 320. 3983
X 321. 4104
X 322. 4427
X 323. 4442
X 324. 5462
X 325. 5724
X 326. 6240
X 327. 7385
X 328. 8138
X 329. 9290
X 330. 9302
X 331. 9776
X 332. 10029
X 333. 6301
  334. 9835
X 335. 50
X 336. 2309
X 337. 5754
X 338. 6388
X 339. 10376
X 340. 7400
X 341. 163
X 342. 535
X 343. 1176
X 344. 6696
X 345. 6856
X 346. 8220
X 347. 9300
X 348. 10340
X 349. 3549
X 350. 9244
X 351. 796
X 352. 6766
X 353. 6865
X 354. 6197
X 355. 6578
X 356. 9430
X 357. 4028
X 358. 10931
X 359. 124
X 360. 8077
X 361. 8929
X 362. 4337
X 363. 5600
X 364. 9733
X 365. 5882
X 366. 10032
X 367. 7198
X 368. 2937
X 369. 3388
X 370. 6819
X 371. 7593
X 372. 10402
X 373. 9688
X 374. 2000
X 375. 4954
X 376. 5451
X 377. 6548
X 378. 307
X 379. 441
X 380. 1180
X 381. 6473
X 382. 8542
X 383. 10250
X 384. 4724
X 385. 7899
X 386. 3334
X 387. 2092
X 388. 4245
X 389. 5742
X 390. 7806
X 391. 9232
X 392. 9595
X 393. 5963
X 394. 6519
X 395. 4569
X 396. 1240
X 397. 4875
X 398. 978
X 399. 2238
X 400. 3262
X 401. 8824
X 402. 11101
X 403. 2707
X 404. 6497
X 405. 6781
X 406. 3323
X 407. 6082
X 408. 6877
X 409. 6908
X 410. 7464
X 411. 1249
X 412. 8190
X 413. 668
X 414. 750
X 415. 928
X 416. 3349
X 417. 4225
X 418. 4283
X 419. 5271
X 420. 6740
X 421. 6778
X 422. 7503
X 423. 7715
X 424. 8973
X 425. 9611
X 426. 9712
X 427. 9774
X 428. 10830
X 429. 11260
X 430. 7741
X 431. 722
X 432. 1962
X 433. 2935
X 434. 3620
X 435. 3852
X 436. 4313
X 437. 6904
X 438. 7194
X 439. 7676
X 440. 9675
X 441. 9698
X 442. 218
X 443. 4823
X 444. 7023
X 445. 7567
X 446. 9406
X 447. 9736
X 448. 7171
X 449. 2
X 450. 304
X 451. 544
X 452. 1170
X 453. 1360
X 454. 2927
X 455. 2992
X 456. 4007
X 457. 4197
X 458. 5235
X 459. 6996
X 460. 6997
X 461. 7098
X 462. 7399
X 463. 8876
X 464. 11353
X 465. 6729
X 466. 7472
X 467. 7481
X 468. 18
X 469. 430
X 470. 518
X 471. 1076
X 472. 2450
X 473. 4317
X 474. 4710
X 475. 5643
X 476. 5825
X 477. 6559
X 478. 7705
X 479. 11050
X 480. 1111
X 481. 5353
X 482. 11323
X 483. 537
X 484. 1518
X 485. 1657
X 486. 2005
X 487. 2367
X 488. 3079
X 489. 8888
X 490. 9602
X 491. 10788
X 492. 2379
X 493. 10395
X 494. 9837
X 495. 2851
X 496. 8512
X 497. 2013
X 498. 4288
X 499. 4900
X 500. 6484
X 501. 10367
X 502. 10411
X 503. 10856
X 504. 2582
X 505. 9316
X 506. 7038
X 507. 426
X 508. 839
X 509. 1171
X 510. 1893
X 511. 2953
X 512. 4961
X 513. 6827
X 514. 6920
X 515. 8171
X 516. 8948
X 517. 9457
X 518. 9765
X 519. 9769
X 520. 187
X 521. 571
X 522. 1162
X 523. 1985
X 524. 3533
X 525. 3905
X 526. 8695
X 527. 9295
X 528. 10652
X 529. 11324
X 530. 11339
X 531. 4846
X 532. 3830
X 533. 4783
X 534. 8874
X 535. 5727
X 536. 8250
X 537. 9928
X 538. 861
X 539. 1136
X 540. 10095
X 541. 2073
X 542. 7034
X 543. 679
X 544. 1336
X 545. 1988
X 546. 2556
X 547. 2800
X 548. 3329
X 549. 3434
X 550. 3490
X 551. 3851
X 552. 4250
X 553. 4675
X 554. 4717
X 555. 6170
X 556. 309
X 557. 7851
X 558. 10540
X 559. 11257
X 560. 1614
X 561. 1633
X 562. 2006
X 563. 2717
X 564. 3088
X 565. 5360
X 566. 6483
X 567. 7378
X 568. 9561
X 569. 9798
X 570. 9989
X 571. 10753
X 572. 10855
X 573. 11189
X 574. 7295
X 575. 9856
X 576. 4136
X 577. 8381
X 578. 6261
X 579. 10
X 580. 1089
X 581. 3075
X 582. 3258
X 583. 3848
X 584. 4827
X 585. 7126
X 586. 8453
X 587. 10515
X 588. 9594
X 589. 159
X 590. 417
X 591. 1491
X 592. 4622
X 593. 5467
X 594. 5560
X 595. 6777
X 596. 6969
X 597. 8320
X 598. 565
X 599. 887
X 600. 1246
X 601. 2647
X 602. 2837
X 603. 4539
X 604. 5418
X 605. 5518
X 606. 8616
X 607. 8750
X 608. 9055
X 609. 9130
X 610. 9628
X 611. 1088
X 612. 1494
X 613. 1502
X 614. 2812
X 615. 3096
X 616. 3304
X 617. 3742
X 618. 4244
X 619. 4256
X 620. 4871
X 621. 5159
X 622. 7025
X 623. 7568
X 624. 8443
X 625. 9830
X 626. 4433
X 627. 5196
X 628. 8230
X 629. 753
X 630. 774
X 631. 784
X 632. 2222
X 633. 2608
X 634. 3087
X 635. 3456
X 636. 5304
X 637. 6343
X 638. 6539
X 639. 8363
X 640. 8530
X 641. 9992
X 642. 10003
X 643. 11135
X 644. 11343
X 645. 35
X 646. 2975
X 647. 3543
X 648. 3764
X 649. 4221
X 650. 4640
X 651. 6281
X 652. 9350
X 653. 9976
X 654. 6925
X 655. 1005
X 656. 1131
X 657. 1267
X 658. 5092
X 659. 6311
X 660. 7224
X 661. 8283
X 662. 10234
X 663. 11411
X 664. 1772
X 665. 3807
X 666. 5381
X 667. 9838
X 668. 2212
X 669. 2488
X 670. 2985
X 671. 3352
X 672. 5301
X 673. 7028
X 674. 7940
X 675. 7969
X 676. 9226
X 677. 10233
X 678. 10958
X 679. 203
X 680. 804
X 681. 1235
X 682. 1520
X 683. 1897
X 684. 3097
X 685. 3098
X 686. 3327
X 687. 3340
X 688. 4257
X 689. 4259
X 690. 4431
X 691. 4771
X 692. 5692
X 693. 5995
X 694. 6060
X 695. 8276
X 696. 8277
X 697. 8825
X 698. 8852
X 699. 971
X 700. 2277
X 701. 4138
X 702. 4660
  703. 4720
X 704. 5004
X 705. 6093
X 706. 6409
X 707. 6765
X 708. 1303
X 709. 4594
X 710. 6051
X 711. 6267
X 712. 6637
X 713. 6712
X 714. 6962
X 715. 7107
X 716. 7374
X 717. 7685
X 718. 2091
X 719. 6817
X 720. 7746
X 721. 3272
X 722. 4094
X 723. 4725
X 724. 2860
X 725. 4663
X 726. 4835
X 727. 4969
X 728. 8168
X 729. 9978
X 730. 4379
X 731. 7053
X 732. 8789
X 733. 10682
X 734. 8418
X 735. 455
X 736. 563
X 737. 715
X 738. 880
X 739. 915
X 740. 1905
X 741. 2378
X 742. 2498
X 743. 4853
X 744. 5205
X 745. 5306
X 746. 5383
X 747. 7951
X 748. 8734
X 749. 8736
X 750. 8907
X 751. 9658
X 752. 10567
X 753. 10827
X 754. 10842
X 755. 10924
X 756. 10970
X 757. 11402
X 758. 11409
